DataCode,Rectype,RecYear,Date,Watershed,Transect,TrapStation,Species,SpecimenNo1,SpecimenNo2,VoucherNo,RecaptureStatus,Disposition,TotalLength,TailLength,HFLength,EarLength,Weight,Sex,Age,ReprodCondition,Comments
csm08,1,2017,6/2/17,4B,W,11,PMLE,280,,,Y,R,,,,,,M,A,S,
csm08,1,2017,6/2/17,4B,W,12,PMLE,311,,,Y,R,,,,,,F,JUV,CSN,
csm08,1,2017,6/2/17,4B,W,4,PMLE,441,,,Y,R,,84,22,,26.5,F,A,CSN,PREGNANT
csm08,1,2017,6/2/17,4B,W,9,PMMA,340,,,Y,R,,,,,,M,A,S,
csm08,1,2017,6/2/17,4B,W,17,REME,313,,,Y,R,,,,,,M,A,NS,
csm08,1,2017,6/2/17,4B,W,10,REME,358,,,Y,R,,,,,,M,A,S,
csm08,1,2017,6/2/17,4B,W,15,SIHI,421,,,N,R,,120,30,,150,M,A,S,
csm08,1,2017,6/2/17,4B,W,16,SIHI,384,,,Y,R,,,,,,M,A,NS,
csm08,1,2017,6/2/17,4B,W,14,SIHI,315,,,Y,R,,,,,,M,A,NS,
csm08,1,2017,6/2/17,4F,W,20,PMLE,413,,,N,R,,70,21,,27,M,A,S,
csm08,1,2017,6/2/17,4F,W,9,REME,404,,,N,R,,73,17,,13,M,A,S,
csm08,1,2017,6/2/17,4F,W,1,REME,418,,,A,R,,,,,,M,A,S,
csm08,1,2017,6/2/17,4F,W,13,SIHI,416,,,N,R,,63,22,,24,M,JUV,NS,
csm08,1,2017,6/2/17,4F,W,11,SIHI,407,,,N,R,,62,23,,28,F,JUV,CSN,
csm08,1,2017,6/2/17,4F,W,11,SIHI,437,,,N,R,,108,31,,135,M,A,S,
csm08,1,2017,6/2/17,4F,W,4,SIHI,406,,,N,R,,104,32,,150,M,A,S,
csm08,1,2017,6/2/17,4F,W,4,SIHI,405,,,N,R,,102,30,,105,F,A,OEL,
csm08,1,2017,6/2/17,4F,W,15,SIHI,410,,,N,R,,63,24,,23,M,JUV,NS,
csm08,1,2017,6/2/17,4F,W,13,SIHI,420,,,Y,R,,,,,,F,JUV,,
csm08,1,2017,6/2/17,4F,W,12,SIHI,444,,,Y,R,,,,,,F,A,OSN,
csm08,1,2017,6/2/17,4F,W,12,SIHI,445,,,Y,R,,,,,,M,A,S,
csm08,1,2017,6/2/17,4F,W,18,SIHI,449,,,Y,R,,,,,150,F,A,OEN,PREGNANT
csm08,1,2017,6/2/17,SuB,E,3,MIOC,451,,,N,R,,33,18,,40,F,A,OEN,PREGNANT
csm08,1,2017,6/2/17,SuB,E,14,MIOC,450,,,N,R,,33,20,,40,F,A,CEN,PREGNANT
csm08,1,2017,6/2/17,SuB,E,11,MIOC,323,,,Y,R,,,,,,M,A,S,
csm08,1,2017,6/2/17,SuB,E,17,PMMA,422,,,Y,R,,,,,,F,A,OSN,
csm08,1,2017,6/2/17,SuB,E,7,SIHI,433,,,N,R,,55,22,,19,M,JUV,NS,
csm08,1,2017,6/2/17,SuB,E,8,SIHI,440,,,Y,R,,,,,,M,JUV,NS,
csm08,1,2017,6/2/17,SuB,E,8,SIHI,427,,,Y,R,,105,30,,115,M,A,NS,
csm08,1,2017,6/6/17,20B,W,6,DIVI,,,NK269913,N,V,377,140,31,35,135.3,M,JUV,NS,
csm08,1,2017,6/6/17,20B,W,7,NEFL,,,NK269925,N,V,347,140,39,25,197.3,M,A,S,
csm08,1,2017,6/6/17,20B,W,15,PMLE,,,NK269909,N,V,180,84,21,16,31.5,M,A,S,
csm08,1,2017,6/6/17,20B,W,13,PMLE,,,NK269910,N,V,193,88,22,17,31,F,A,OEL,
csm08,1,2017,6/6/17,20B,W,13,PMLE,,,NK269911,N,V,172,75,20,15,26,M,A,S,
csm08,1,2017,6/6/17,20B,W,6,PMLE,,,NK269912,N,V,155,49,22,19,29.4,F,?,OEL,
csm08,1,2017,6/6/17,20B,W,15,PMLE,,,NK269914,N,V,191,80,22,17,39.2,F,?,OEN,
csm08,1,2017,6/6/17,20B,W,14,PMLE,,,NK269915,N,V,175,78,22,46,29.1,F,A,CSN,
csm08,1,2017,6/6/17,20B,W,7,PMLE,,,NK269916,N,V,171,70,22,16,30.2,M,A,S,
csm08,1,2017,6/6/17,20B,W,8,PMLE,,,NK269917,N,V,172,77,22,15,33.2,F,A,OEL,
csm08,1,2017,6/6/17,20B,W,18,PMLE,,,NK269919,N,V,196,89,22,18,33.1,F,A,CEN,
csm08,1,2017,6/6/17,20B,W,2,PMLE,,,NK269920,N,V,179,79,22,15,31.2,F,A,CEL,
csm08,1,2017,6/6/17,20B,W,11,PMLE,,,NK269921,N,V,167,75,22,16,24,M,A,S,
csm08,1,2017,6/6/17,20B,W,6,PMLE,,,NK269922,N,V,168,70,22,14,26.3,M,A,S,
csm08,1,2017,6/6/17,20B,W,5,PMLE,,,NK269923,N,V,178,82,22,17,32.7,F,A,OEL,
csm08,1,2017,6/6/17,20B,W,8,PMLE,,,NK269924,N,V,167,72,21,16,26.8,M,SA,S,
csm08,1,2017,6/6/17,20B,W,9,SIHI,,,NK269918,N,V,254,98,30,16,121.2,F,A,OEL,
csm08,1,2017,6/6/17,4B,E,14,PMLE,,,NK269901,N,V,188,80,23,12,29,F,A,CEN,
csm08,1,2017,6/6/17,4B,E,9,PMLE,,,NK269902,N,V,166,71,20,17,26.5,F,A,OEL,
csm08,1,2017,6/6/17,4B,E,17,PMLE,,,NK269904,N,V,175,72,21,17,31.1,M,A,S,
csm08,1,2017,6/6/17,4B,E,12,PMLE,,,NK269907,N,V,164,74,22,17,19,M,A,S,
csm08,1,2017,6/6/17,4B,E,16,PMLE,,,NK269908,N,V,186,81,23,18,33.1,M,A,S,
csm08,1,2017,6/6/17,4B,E,7,PMMA,,,NK269906,N,V,150,60,18,16,17.3,M,A,S,
csm08,1,2017,6/6/17,4B,E,19,SIHI,,,NK269903,N,V,267,91,30,18,129.5,M,A,S,
csm08,1,2017,6/6/17,4B,E,19,SIHI,,,NK269905,N,V,259,86,29,19,133.2,F,A,OEL,
csm08,1,2017,6/6/17,4F,W,8,REME,,,NK269897,N,V,138,65,17,14,9.7,M,A,S,
csm08,1,2017,6/6/17,4F,W,11,SIHI,,,NK269898,N,V,252,99,29,20,121.8,M,A,S,
csm08,1,2017,6/6/17,SPB,W,6,PMMA,,,NK269899,N,V,130,48,19,15,12.8,F,SA,CSN,
csm08,1,2017,6/6/17,SPB,W,18,PMMA,,,NK269900,N,V,133,48,17,19,15.3,F,A,CEN,
csm08,1,2017,6/7/17,20B,W,15,DIVI,,,NK269951,N,V,336,150,32,39,136.1,M,JUV,NS,
csm08,1,2017,6/7/17,20B,W,2,PMLE,,,NK269938,N,V,180,82,21,18,30.9,F,A,CEL,
csm08,1,2017,6/7/17,20B,W,4,PMLE,,,NK269939,N,V,179,73,23,18,,F,A,CEN,
csm08,1,2017,6/7/17,20B,W,14,PMLE,,,NK269942,N,V,185,83,21,18,33.1,M,A,S,
csm08,1,2017,6/7/17,20B,W,10,PMLE,,,NK269943,N,V,178,81,22,17,29.4,M,A,S,
csm08,1,2017,6/7/17,20B,W,18,PMLE,,,NK269944,N,V,176,79,21,18,33.2,M,A,S,
csm08,1,2017,6/7/17,20B,W,16,PMLE,,,NK269945,N,V,169,74,23,16,26.1,M,A,S,
csm08,1,2017,6/7/17,20B,W,3,PMLE,,,NK269947,N,V,173,86,21,17,25.8,M,A,S,
csm08,1,2017,6/7/17,20B,W,15,PMLE,,,NK269948,N,V,183,87,24,18,31.9,M,A,S,
csm08,1,2017,6/7/17,20B,W,6,PMLE,,,NK269949,N,V,179,79,21,17,30.6,M,A,S,
csm08,1,2017,6/7/17,20B,W,11,PMLE,,,NK269950,N,V,176,86,22,18,29.5,M,A,S,
csm08,1,2017,6/7/17,20B,W,19,SIHI,,,NK269940,N,V,262,110,29,21,137.9,M,A,S,
csm08,1,2017,6/7/17,20B,W,12,SIHI,,,NK269941,N,V,289,180,29,20,174.5,M,A,S,
csm08,1,2017,6/7/17,20B,W,13,SIHI,,,NK269946,N,V,283,122,32,21,225.8,F,A,OEN,
csm08,1,2017,6/7/17,4B,E,13,PMLE,,,NK269930,N,V,151,71,22,17,15.1,F,JUV,CSN,
csm08,1,2017,6/7/17,4B,E,15,PMLE,,,NK269931,N,V,171,82,23,16,22.9,M,A,S,
csm08,1,2017,6/7/17,4B,E,17,PMLE,,,NK269932,N,V,170,79,22,19,26.6,F,A,CSN,
csm08,1,2017,6/7/17,4B,E,20,SIHI,,,NK269933,N,V,162,74,22,16,24.2,F,JUV,CSN,
csm08,1,2017,6/7/17,4B,E,20,SIHI,,,NK269934,N,V,190,82,26,17,52.8,M,SA,S,
csm08,1,2017,6/7/17,4F,E,18,REME,,,NK269926,N,V,,,,,,M,A,S,
csm08,1,2017,6/7/17,4F,E,3,REMO,,,NK269927,N,V,143,69,11,12,10.9,M,A,S,
csm08,1,2017,6/7/17,4F,E,6,SIHI,,,NK269928,N,V,270,110,29,20,140.4,F,A,OEL,
csm08,1,2017,6/7/17,4F,E,11,SIHI,,,NK269929,N,V,268,108,28,19,121.8,F,A,CEL,
csm08,1,2017,6/7/17,SPB,W,16,CHHI,,,NK269937,N,V,211,110,25,12,56.9,M,A,S,
csm08,1,2017,6/7/17,SPB,W,14,PMMA,,,NK269935,N,V,138,63,19,15,15.1,M,A,S,
csm08,1,2017,6/7/17,SPB,W,9,PMMA,,,NK269936,N,V,132,52,17,13,17.2,M,A,S,
csm08,1,2017,6/8/17,20B,W,15,NEFL,,,NK269965,N,V,351,140,38,24,,F,A,CSN,
csm08,1,2017,6/8/17,20B,W,20,PMLE,,,NK269966,N,V,185,88,23,16,33.2,F,A,CEN,
csm08,1,2017,6/8/17,20B,W,1,PMLE,,,NK269967,N,V,147,67,21,16,17.9,M,SA,S,
csm08,1,2017,6/8/17,20B,W,4,PMLE,,,NK269969,N,V,167,75,21,16,28.3,F,A,CEL,
csm08,1,2017,6/8/17,20B,W,16,PMLE,,,NK269970,N,V,183,76,23,16,33.1,M,A,S,
csm08,1,2017,6/8/17,20B,W,18,PMLE,,,NK269971,N,V,185,76,21,16,30.3,M,A,S,
csm08,1,2017,6/8/17,20B,W,20,PMLE,,,NK269972,N,V,176,76,22,16,25.9,F,A,CEN,
csm08,1,2017,6/8/17,20B,W,16,PMLE,,,NK269974,N,V,202,99,22,16,32,F,A,OEL,
csm08,1,2017,6/8/17,20B,W,5,PMLE,,,NK269975,N,V,136,61,21,13,11.8,F,JUV,CSN,
csm08,1,2017,6/8/17,20B,W,17,PMLE,,,NK269976,N,V,178,84,22,17,30.9,F,A,CEN,
csm08,1,2017,6/8/17,20B,W,9,SIHI,,,NK269964,N,V,255,105,30,18,139.9,M,A,S,
csm08,1,2017,6/8/17,20B,W,19,SIHI,,,NK269968,N,V,272,109,30,17,235.2,F,A,OEN,
csm08,1,2017,6/8/17,20B,W,17,SIHI,,,NK269973,N,V,,,,,,F,?,OEL,
csm08,1,2017,6/8/17,4B,E,7,MIOC,,,NK269956,N,V,135,30,20,11,32.8,M,A,S,
csm08,1,2017,6/8/17,4B,E,14,PMLE,,,NK269959,N,V,149,64,21,13,14,F,JUV,CSN,
csm08,1,2017,6/8/17,4B,E,12,PMMA,,,NK269957,N,V,150,49,17,13,12,F,SA,CSN,
csm08,1,2017,6/8/17,4B,E,19,SIHI,,,NK269958,N,V,250,96,29,17,148.3,M,A,S,
csm08,1,2017,6/8/17,4F,E,3,MIOC,,,NK269952,N,V,154,31,19,11,60.5,F,A,CEN,
csm08,1,2017,6/8/17,4F,E,19,MIOC,,,NK269955,N,V,139,29,18,9,28.5,F,SA,CSN,
csm08,1,2017,6/8/17,4F,E,18,REME,,,NK269954,N,V,123,58,16,12,6.7,F,JUV,CSN,
csm08,1,2017,6/8/17,4F,E,11,SIHI,,,NK269953,N,V,274,110,31,16,127.8,M,A,S,
csm08,1,2017,6/8/17,SPB,W,12,CHHI,,,NK269962,N,V,215,102,25,11,50.2,F,A,CEN,
csm08,1,2017,6/8/17,SPB,W,2,MIOC,,,NK269963,N,V,137,26,17,7,33.5,M,A,S,
csm08,1,2017,6/8/17,SPB,W,19,PMMA,,,NK269960,N,V,136,53,19,14,15,M,SA,S,
csm08,1,2017,6/8/17,SPB,W,14,PMMA,,,NK269961,N,V,142,60,18,13,16.3,F,A,CSN,
csm08,1,2017,6/9/17,20B,W,6,DIVI,,,NK269984,N,V,336,149,32,35,131,F,JUV,?,
csm08,1,2017,6/9/17,20B,W,6,NEFL,,,NK269978,N,V,311,162,38,27,207.1,M,A,NS,
csm08,1,2017,6/9/17,20B,W,16,NEFL,,,NK269983,N,V,393,170,39,29,341.4,F,A,OEL,
csm08,1,2017,6/9/17,20B,W,4,PMLE,,,NK269977,N,V,163,73,21,17,23.8,M,A,S,
csm08,1,2017,6/9/17,20B,W,17,PMLE,,,NK269979,N,V,164,75,23,16,26.7,M,A,S,
csm08,1,2017,6/9/17,20B,W,9,PMLE,,,NK269980,N,V,140,66,20,16,12.4,F,JUV,CSN,
csm08,1,2017,6/9/17,20B,W,1,PMLE,,,NK269981,N,V,178,79,22,17,30.4,M,A,S,
csm08,1,2017,6/9/17,20B,W,17,SIHI,,,NK269982,N,V,241,87,26,20,124.6,M,A,S,
csm08,1,2017,6/9/17,4B,E,15,PMLE,,,NK269987,N,V,157,71,21,18,18.9,M,A,S,
csm08,1,2017,6/9/17,4B,E,19,SIHI,,,NK269986,N,V,279,114,31,20,171.2,M,A,S,
csm08,1,2017,6/9/17,4B,E,19,SIHI,,,NK269988,N,V,259,109,21,22,138.7,M,A,S,
csm08,1,2017,6/9/17,4F,E,4,MIOC,,,NK269985,N,V,145,38,18,13,29.7,F,A,CSN,
csm08,1,2017,6/9/17,SPB,W,3,CHHI,,,NK269989,N,V,191,97,23,10,29.4,M,A,S,
csm08,1,2017,6/9/17,SPB,W,18,CHHI,,,NK269990,N,V,166,80,26,11,21.4,F,SA,CSN,
csm08,1,2017,6/13/17,20B,E,15,NEFL,495,,,N,R,,115,32,,90,F,JUV,CSN,
csm08,1,2017,6/13/17,20B,E,17,PMLE,425,,,N,R,,64,21,,12,M,JUV,NS,
csm08,1,2017,6/13/17,20B,E,18,PMLE,462,,,N,R,,54,19,,9,M,JUV,NS,
csm08,1,2017,6/13/17,20B,E,10,PMLE,488,,,N,R,,88,23,,34,M,A,S,
csm08,1,2017,6/13/17,20B,E,8,PMLE,484,,,N,R,,89,23,,35,F,A,CSN,
csm08,1,2017,6/13/17,20B,E,8,PMLE,366,,,A,R,,85,24,,33,M,A,S,
csm08,1,2017,6/13/17,20B,E,7,PMLE,476,,,N,R,,91,21,,34,F,A,CEN,PREGNANT
csm08,1,2017,6/13/17,20B,E,9,PMLE,326,,,A,R,,87,23,,35,F,A,CEN,
csm08,1,2017,6/13/17,20B,E,10,SIHI,492,,,N,R,,97,30,,159,F,A,OSN,
csm08,1,2017,6/13/17,20B,E,12,SIHI,485,,,N,R,,70,25,,35,M,A,NS,
csm08,1,2017,6/13/17,R1A,E,5,NEFL,428,,,N,R,,138,32,,180,F,A,OSN,
csm08,1,2017,6/13/17,R1A,E,15,PMLE,436,,,N,R,,80,22,,20,F,A,CSN,
csm08,1,2017,6/13/17,R1A,E,5,PMLE,430,,,N,R,,69,22,,20,M,A,NS,
csm08,1,2017,6/13/17,R1A,E,4,PMLE,412,,,N,R,,79,21,,25,F,A,CEN,PREGNANT
csm08,1,2017,6/13/17,R1A,E,6,PMLE,431,,,N,R,,69,22,,17,F,JUV,CSN,
csm08,1,2017,6/13/17,R1A,E,13,PMLE,408,,,N,R,,100,21,,33,M,A,S,
csm08,1,2017,6/13/17,R1A,E,12,PMLE,443,,,N,R,,88,22,,34,M,A,NS,
csm08,1,2017,6/13/17,R1A,E,1,PMMA,415,,,N,R,,62,19,,19,M,A,S,
csm08,1,2017,6/13/17,R1A,E,18,SIHI,401,,,N,R,,121,33,,190,F,A,CSN,
csm08,1,2017,6/13/17,R1A,E,14,SIHI,446,,,N,R,,84,31,,39,M,JUV,NS,
csm08,1,2017,6/13/17,R20A,W,11,PMLE,401,,,Y,R,,68,21,,18,F,A,CSN,
csm08,1,2017,6/13/17,R20A,W,14,PMLE,466,,,Y,R,,89,23,,36,M,A,S,
csm08,1,2017,6/13/17,R20A,W,16,SIHI,461,,,Y,R,,104,30,,160,F,A,CSN,
csm08,1,2017,6/13/17,SpB,E,17,PMLE,459,,,N,R,,76,21,,29,M,A,NS,also ET2100 (NEON)
csm08,1,2017,6/13/17,SpB,E,6,PMMA,447,,,N,R,,57,18,,20,M,A,S,
csm08,1,2017,6/13/17,SpB,E,20,PMMA,,3866,,A,R,,64,17,,23,M,A,S,NEON recapture
csm08,1,2017,6/13/17,SpB,E,18,PMMA,470,,,N,R,,61,17,,15,F,SA,OSN,
csm08,1,2017,6/13/17,SpB,E,7,SIHI,481,,,N,R,,91,32,,155,M,A,S,OTB
csm08,1,2017,6/13/17,SpB,E,10,SIHI,473,,,N,R,,122,34,,170,M,A,NS,
csm08,1,2017,6/13/17,SpB,E,19,SIHI,480,,,N,R,,86,29,,80,M,SA,NS,
csm08,1,2017,6/14/17,20B,E,16,PMLE,456,,,N,R,,73,21,,26,F,A,CEN,
csm08,1,2017,6/14/17,20B,E,17,PMLE,497,,,N,R,,74,22,,24,M,A,S,
csm08,1,2017,6/14/17,20B,E,7,PMLE,366,,,A,R,,,,,,M,A,S,
csm08,1,2017,6/14/17,20B,E,4,PMLE,496,,,N,R,,92,21,,23,M,A,S,
csm08,1,2017,6/14/17,20B,E,19,PMLE,468,,,N,R,,84,22,,34,F,A,CEN,PREGNANT
csm08,1,2017,6/14/17,20B,E,11,PMLE,499,,,N,R,,75,21,,19.5,M,A,NS,
csm08,1,2017,6/14/17,20B,E,18,PMLE,469,,,N,R,,72,23,,19,M,JUV,NS,
csm08,1,2017,6/14/17,20B,E,16,PMLE,355,,,A,R,,82,22,,31,M,A,S,
csm08,1,2017,6/14/17,20B,E,15,PMLE,454,,,N,R,,66,20,,13,F,JUV,CSN,
csm08,1,2017,6/14/17,20B,E,9,PMLE,488,,,Y,R,,,,,,M,A,NS,
csm08,1,2017,6/14/17,20B,E,18,PMLE,462,,,Y,R,,,,,,M,JUV,NS,
csm08,1,2017,6/14/17,20B,E,9,PMLE,326,,,Y,R,,,,,,F,A,CEN,
csm08,1,2017,6/14/17,20B,E,8,PMLE,484,,,Y,R,,,,,,F,A,CSN,
csm08,1,2017,6/14/17,20B,E,8,PMLE,476,,,Y,R,,,,,,F,A,CEN,PREGNANT
csm08,1,2017,6/14/17,20B,E,20,SIHI,490,,,N,R,,59,,,,F,JUV,,F?
csm08,1,2017,6/14/17,20B,E,10,SIHI,471,,,N,R,,66,24,,32,M,SA,S,
csm08,1,2017,6/14/17,20B,E,13,SIHI,492,,,Y,R,,,,,,F,A,CEN,PREGNANT
csm08,1,2017,6/14/17,R1A,E,5,NEFL,428,,,Y,R,,,,,,F,A,OSN,
csm08,1,2017,6/14/17,R1A,E,13,PMLE,475,,,N,R,,71,20,,19,F,JUV,CSN,
csm08,1,2017,6/14/17,R1A,E,8,PMLE,455,,,N,R,,70,21,,24,M,A,NS,BOTFLY ON SCROTUM
csm08,1,2017,6/14/17,R1A,E,17,PMLE,489,,,N,R,,67,21,,18,M,A,S,
csm08,1,2017,6/14/17,R1A,E,15,PMLE,436,,,Y,R,,,,,,F,A,CSN,
csm08,1,2017,6/14/17,R1A,E,15,PMLE,408,,,Y,R,,,,,,M,A,S,
csm08,1,2017,6/14/17,R1A,E,4,PMLE,430,,,Y,R,,69,,,,M,A,NS,
csm08,1,2017,6/14/17,R1A,E,2,PMLE,412,,,Y,R,,,,,,F,A,CEN,
csm08,1,2017,6/14/17,R1A,E,10,SIHI,487,,,N,R,,95,30,,145,M,A,S,
csm08,1,2017,6/14/17,R1A,E,6,SIHI,472,,,N,R,,75,27,,35,M,JUV,NS,
csm08,1,2017,6/14/17,R1A,E,12,SIHI,442,,,N,R,,86,26,,59,F,SA,CSN,
csm08,1,2017,6/14/17,R1A,E,10,SIHI,465,,,N,R,,102,29,,85,M,A,S,
csm08,1,2017,6/14/17,R20A,W,14,PMLE,477,,,N,R,,74,21,,26,M,A,NS,
csm08,1,2017,6/14/17,R20A,W,11,PMLE,424,,,Y,R,,,,,,F,A,CSN,
csm08,1,2017,6/14/17,SpB,E,18,MIOC,438,,,N,R,,30,19,,52,F,A,CEN,PREGNANT
csm08,1,2017,6/14/17,SpB,E,17,PMMA,459,2100,,Y,R,,78,21,,,M,A,NS,NEON recapture 2100/459
csm08,1,2017,6/14/17,SpB,E,15,SIHI,483,,,N,R,,87,27,,69,F,SA,CNS,
csm08,1,2017,6/14/17,SpB,E,14,SIHI,414,,,N,R,,85,28,,80,M,SA,NS,
csm08,1,2017,6/14/17,SpB,E,16,SIHI,494,,,N,R,,111,31,,190,F,A,OSN,PREGNANT
csm08,1,2017,6/14/17,SpB,E,20,SIHI,486,,,N,R,,58,22,,27,M,JUV,NS,
csm08,1,2017,6/14/17,SpB,E,8,SIHI,458,,,N,R,,108,29,,130,M,A,NS,
csm08,1,2017,6/14/17,SpB,E,7,SIHI,493,,,N,R,,87,29,,51,F,SA,OSN,
csm08,1,2017,6/14/17,SpB,E,8,SIHI,,,,Y,R,,,,,,N,,,ESCAPED
csm08,1,2017,6/14/17,SpB,E,19,SIHI,480,,,Y,R,,,,,,M,SA,NS,
csm08,1,2017,6/15/17,20B,E,9,PMLE,569,,,N,R,,78,22,,36,F,A,CEN,PREGNANT
csm08,1,2017,6/15/17,20B,E,10,PMLE,326,,,A,R,,,,,,F,A,CEN,PREGNANT
csm08,1,2017,6/15/17,20B,E,10,PMLE,366,,,A,R,,,,,,M,A,S,
csm08,1,2017,6/15/17,20B,E,16,PMLE,595,,,N,R,,71,22,,28,M,A,S,
csm08,1,2017,6/15/17,20B,E,16,PMLE,355,,,A,R,,,,,,M,A,S,
csm08,1,2017,6/15/17,20B,E,15,PMLE,454,,,Y,R,,,,,,F,JUV,CSN,
csm08,1,2017,6/15/17,20B,E,8,PMLE,484,,,Y,R,,,,,,F,A,CSN,
csm08,1,2017,6/15/17,20B,E,12,PMLE,499,,,Y,R,,,,,,M,A,S,
csm08,1,2017,6/15/17,20B,E,8,PMLE,476,,,Y,R,,,,,,F,A,CEN,
csm08,1,2017,6/15/17,20B,E,5,PMLE,469,,,Y,R,,,,,,M,JUV,NS,
csm08,1,2017,6/15/17,20B,E,16,PMLE,462,,,Y,R,,,,,,M,JUV,NS,
csm08,1,2017,6/15/17,20B,E,15,PMLE,497,,,Y,R,,,,,,M,A,NS,
csm08,1,2017,6/15/17,20B,E,2,PMMA,511,,,N,R,,54,18,,28,M,A,S,
csm08,1,2017,6/15/17,20B,E,7,SIHI,503,,,N,R,,71,27,,,F,JUV,CSN,
csm08,1,2017,6/15/17,20B,E,13,SIHI,492,,,Y,R,,,,,,F,A,CEN,PREGNANT
csm08,1,2017,6/15/17,R1A,E,5,NEFL,428,,,Y,R,,,,,,F,A,OEN,
csm08,1,2017,6/15/17,R1A,E,2,PMLE,467,,,N,R,,91,24,,34,M,A,NS,
csm08,1,2017,6/15/17,R1A,E,4,PMLE,430,,,Y,R,,,,,,M,A,S,
csm08,1,2017,6/15/17,R1A,E,15,PMLE,408,,,Y,R,,,,,,M,A,S,
csm08,1,2017,6/15/17,R1A,E,15,PMLE,436,,,Y,R,,,,,,F,A,CSN,
csm08,1,2017,6/15/17,R1A,E,13,PMLE,475,,,Y,R,,,,,,F,A,CSN,
csm08,1,2017,6/15/17,R1A,E,13,PMLE,443,,,Y,R,,,,,,M,A,NS,
csm08,1,2017,6/15/17,R1A,E,2,PMMA,491,,,N,R,,53,18,,18.5,M,A,NS,
csm08,1,2017,6/15/17,R1A,E,7,SIHI,482,,,N,R,,23,61,,,M,SA,NS,
csm08,1,2017,6/15/17,R1A,E,18,SIHI,436,,,N,R,,75,27,,49,M,SA,NS,
csm08,1,2017,6/15/17,R1A,E,14,SIHI,498,,,N,R,,87,28,,63,M,SA,NS,
csm08,1,2017,6/15/17,R1A,E,9,SIHI,460,,,N,R,,93,22,,69,F,SA,OSN,
csm08,1,2017,6/15/17,R1A,E,12,SIHI,474,,,N,R,,92,30,,57,M,SA,S,
csm08,1,2017,6/15/17,R1A,E,12,SIHI,448,,,N,R,,109,29,,160,M,A,S,
csm08,1,2017,6/15/17,R1A,E,14,SIHI,401,,,Y,R,,,,,,F,A,OSN,
csm08,1,2017,6/15/17,R20A,W,20,PMLE,525,,,N,R,,65,20,,172,F,A,CSN,
csm08,1,2017,6/15/17,R20A,W,11,PMLE,424,,,Y,R,,,,,,F,A,CSN,
csm08,1,2017,6/15/17,SpB,E,12,MIOC,545,,,N,R,,34,21,,28,M,A,NS,
csm08,1,2017,6/15/17,SpB,E,13,PMLE,533,,,N,R,,65,20,,13.5,F,JUV,CSN,
csm08,1,2017,6/15/17,SpB,E,18,PMMA,,3866,,A,R,,,,,,M,A,S,NEON
csm08,1,2017,6/15/17,SpB,E,4,PMMA,447,,,Y,R,,,,,,M,A,S,
csm08,1,2017,6/15/17,SpB,E,20,SIHI,599,,,N,R,,35,31,,145,F,A,OEN,OTB
csm08,1,2017,6/15/17,SpB,E,8,SIHI,505,,,N,R,,115,30,,139,M,A,S,
csm08,1,2017,6/15/17,SpB,E,20,SIHI,565,,,N,R,,91,29,,75,M,SA,NS,
csm08,1,2017,6/15/17,SpB,E,16,SIHI,494,,,Y,R,,,,,,F,A,CEN,NTB PREGNANT
csm08,1,2017,6/15/17,SpB,E,7,SIHI,481,,,Y,R,,,,,,M,A,S,OTB
csm08,1,2017,6/15/17,SpB,E,16,SIHI,480,,,Y,R,,,,,,M,SA,S,
csm08,1,2017,6/15/17,SpB,E,15,SIHI,414,,,Y,R,,,,,,M,SA,NS,
csm08,1,2017,6/16/17,20B,E,14,PMLE,504,,,N,R,,58,20,,14,M,JUV,NS,
csm08,1,2017,6/16/17,20B,E,10,PMLE,326,,,A,R,,,,,,F,A,OEN,
csm08,1,2017,6/16/17,20B,E,15,PMLE,355,,,A,R,,,,,,M,A,S,
csm08,1,2017,6/16/17,20B,E,8,PMLE,366,,,A,R,,,,,,M,A,S,
csm08,1,2017,6/16/17,20B,E,10,PMLE,488,,,Y,R,,,,,,M,A,S,ESCAPED @ SpBS
csm08,1,2017,6/16/17,20B,E,8,PMLE,476,,,Y,R,,,,,,F,A,CSN,
csm08,1,2017,6/16/17,20B,E,9,PMLE,569,,,Y,R,,,,,,F,A,CEN,PREGNANT
csm08,1,2017,6/16/17,20B,E,12,PMLE,499,,,Y,R,,,,,,M,A,NS,
csm08,1,2017,6/16/17,20B,E,15,PMLE,454,,,Y,R,,,,,,F,JUV,CSN,
csm08,1,2017,6/16/17,20B,E,9,PMLE,484,,,Y,R,,,,,,F,A,CEN,
csm08,1,2017,6/16/17,20B,E,16,PMLE,497,,,Y,R,,,,,,M,A,S,
csm08,1,2017,6/16/17,20B,E,16,PMLE,353,,,Y,R,,,,,,M,A,S,
csm08,1,2017,6/16/17,20B,E,2,PMMA,511,,,Y,R,,,,,,M,A,S,
csm08,1,2017,6/16/17,20B,E,1,SIHI,557,,,N,R,,91,28,,50,F,SA,CEN,
csm08,1,2017,6/16/17,20B,E,14,SIHI,571,,,N,R,,108,29,,135,M,A,S,
csm08,1,2017,6/16/17,20B,E,13,SIHI,576,,,N,R,,105,30,,160,M,A,S,
csm08,1,2017,6/16/17,20B,E,12,SIHI,471,,,Y,R,,,,,,M,JUV,NS,
csm08,1,2017,6/16/17,20B,E,13,SIHI,492,,,Y,R,,,,,115,F,A,OEL,GAVE BIRTH IN TRAP-10 EMBRYOS
