date,common_name,total_length,tail_length,hf_length,ear_length,weight,sex,age
2018-07-24,cotton rat,NA,NA,NA,NA,NA,n,NA
2018-07-24,cotton rat,NA,NA,NA,NA,NA,n,NA
2018-07-24,cotton rat,236,97,11,32,95.9,m,a
2018-07-24,cotton rat,272,130,16,30,171.7,m,a
2018-07-24,cotton rat,NA,98,29,NA,63,f,sa
2018-07-25,white-footed mouse,NA,85,22,NA,23,m,a
2018-07-25,white-footed mouse,NA,77,21,NA,25,m,a
2018-07-25,white-footed mouse,NA,NA,NA,NA,NA,n,NA
2018-07-25,white-footed mouse,170,75,13,22,25.8,m,a
2018-07-25,cotton rat,NA,NA,NA,NA,NA,n,NA
2018-07-25,cotton rat,NA,NA,NA,NA,NA,n,NA
2018-07-25,cotton rat,282,102,18,30,160.8,m,a
2018-07-25,cotton rat,238,99,15,29,85.8,f,sa
2018-07-25,cotton rat,NA,110,30,NA,96,m,a
2018-07-25,cotton rat,NA,NA,NA,NA,NA,n,NA
2018-07-26,white-footed mouse,NA,NA,NA,NA,NA,n,NA
2018-07-26,white-footed mouse,NA,NA,NA,NA,NA,n,NA
2018-07-26,cotton rat,NA,102,31,NA,170,m,a
2018-07-26,prairie vole,NA,NA,NA,NA,NA,n,NA
2018-07-26,prairie vole,153,32,9,19,45.6,m,a
2018-07-26,cotton rat,NA,NA,NA,NA,NA,n,NA
2018-07-26,cotton rat,NA,NA,NA,NA,NA,n,NA
2018-07-26,cotton rat,NA,NA,NA,NA,NA,n,NA
2018-07-26,cotton rat,266,108,15,31,180.1,f,a
2018-07-26,cotton rat,260,90,15,31,207.3,m,a
2018-07-26,cotton rat,234,99,14,32,99.8,m,a
2018-07-26,cotton rat,NA,NA,NA,NA,NA,f,sa
2018-07-26,cotton rat,NA,NA,NA,NA,NA,m,a
2018-07-27,white-footed mouse,NA,NA,NA,NA,NA,n,NA
2018-07-27,white-footed mouse,NA,NA,NA,NA,NA,n,NA
2018-07-27,white-footed mouse,165,67,12,21,25.3,m,a
2018-07-27,white-footed mouse,NA,NA,NA,NA,NA,n,NA
2018-07-27,cotton rat,NA,92,32,NA,150,f,a
2018-07-27,cotton rat,NA,NA,NA,NA,NA,n,NA
2018-07-27,cotton rat,NA,115,31,NA,150,f,a
2018-07-27,cotton rat,NA,90,28,NA,101,f,a
2018-07-27,deer mouse,NA,NA,NA,NA,NA,m,a
2018-07-27,deer mouse,NA,59,19,NA,19,m,a
2018-07-27,cotton rat,NA,NA,NA,NA,NA,n,NA
2018-07-27,cotton rat,NA,NA,NA,NA,NA,n,NA
2018-07-31,white-footed mouse,169,72,12,21,28.5,m,a
2018-07-31,white-footed mouse,171,78,11,21,25.8,m,a
2018-07-31,cotton rat,194,82,12,28,48.4,f,juv
2018-07-31,white-footed mouse,173,81,13,22,31,m,a
2018-08-01,white-footed mouse,173,82,14,22,25.8,m,a
2018-08-01,white-footed mouse,181,93,12,22,32.1,m,a
2018-08-01,cotton rat,216,97,14,29,52.2,f,a
2018-08-01,cotton rat,254,120,15,31,91.8,m,a
2018-08-01,cotton rat,278,122,16,32,133,m,a
2018-08-01,deer mouse,131,54,12,18,12.4,f,a
2018-08-02,white-footed mouse,170,78,19,21,26.3,f,a
2018-08-02,white-footed mouse,173,75,14,21,30.6,m,a
2018-08-03,white-footed mouse,187,87,15,23,29.4,m,a
